url,verdict,risk,details
http://webmail.dsci.in:80/index.php/hi/gallery?catid=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='webmail.dsci.in', port=80): Max retries exceeded with url: /index.php/hi/gallery?catid=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D742C10>: Failed to resolve 'webmail.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://blogs.dsci.in/wp-content/plugins/sidebar-login/assets/js/jquery.blockUI.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/events/aiss-2017/css/compress.minbe2d.css?v=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/blogs/wp-includes/css/dist/block-library/style.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/130_140/public/SGS_cmyk_21mm.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
http://webmail.dsci.in:80/~samachar/site-rssfeed.php?lang=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='webmail.dsci.in', port=80): Max retries exceeded with url: /~samachar/site-rssfeed.php?lang=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D6B0EC0>: Failed to resolve 'webmail.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://blogs.dsci.in/wp-json/oembed/1.0/embed?url=FUZZ,ERROR,Error,"Failed to connect: HTTPSConnectionPool(host='blogs.dsci.in', port=443): Max retries exceeded with url: /wp-json/oembed/1.0/embed?url=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002398D743890>: Failed to resolve 'blogs.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://www.dsci.in/sites/default/files/styles/latest_event_780x535/public/test-large_17.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://betain.dsci.in/misc/progress.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/dpd-quiz/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/uploads/elementor/css/post-677bb8d.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/events/finsec-conclave-2018/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min659a.css?v=FUZZ,SAFE,Low,Static file extension detected (css)
http://webmail.dsci.in:80/index.php/hi/component/content/featured?Itemid=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='webmail.dsci.in', port=80): Max retries exceeded with url: /index.php/hi/component/content/featured?Itemid=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D749F30>: Failed to resolve 'webmail.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://www.dsci.in/sites/default/files/styles/thumbnail/public/mei-lee-quah-frost-sulivan.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/digital-payment-abhiyan/assets/css/responsive.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenae82.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Annual-Information-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Monappa-K-A.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/InduslandBank_261x132.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://ccoe.dsci.in/wp-content/plugins/radiantthemes-custom-post-type/css/rt_image_box.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Mayank Lau-1.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
http://dscimx01.dsci.in:80/~samachar/index.php/hi/gallery?catid=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='dscimx01.dsci.in', port=80): Max retries exceeded with url: /~samachar/index.php/hi/gallery?catid=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D6EE7A0>: Failed to resolve 'dscimx01.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
http://webmail.dsci.in:80/~samachar/index.php/hi/index.php/hi/2014-08-28-11-38-16/33-2014-08-28-08-47-33/उत्तर-प्रदेश-उत्तराखंड/index.php?option=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='webmail.dsci.in', port=80): Max retries exceeded with url: /~samachar/index.php/hi/index.php/hi/2014-08-28-11-38-16/33-2014-08-28-08-47-33/%E0%A4%89%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%B0-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A6%E0%A5%87%E0%A4%B6-%E0%A4%89%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A4%BE%E0%A4%96%E0%A4%82%E0%A4%A1/index.php?option=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D6EE360>: Failed to resolve 'webmail.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://ccoe.dsci.in/wp-content/themes/ryse/assets/js/radiantthemes-custom.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://blogs.dsci.in/wp-content/plugins/buddypress/bp-core/js/widget-members.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/rivi-varghese.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/LMI_LastPass_NE_Red_HEX.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
http://webmail.dsci.in:80/index.php/hi/component/finder/?task=FUZZ,ERROR,Error,"Failed to connect: HTTPConnectionPool(host='webmail.dsci.in', port=80): Max retries exceeded with url: /index.php/hi/component/finder/?task=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002398D6CE330>: Failed to resolve 'webmail.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://www.dsci.in/sites/default/files/styles/130_140/public/image_preview Faisal_6.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/2DwJaspal Singh Sawhney.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/cyber-shikshaa/assets/fonts/fontawesome-webfont.svg?v=FUZZ,SAFE,Low,Static file extension detected (svg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Boundless-Cybersecurity-for-hyper-distributed-Era.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://blogs.dsci.in/?page_id=FUZZ,ERROR,Error,"Failed to connect: HTTPSConnectionPool(host='blogs.dsci.in', port=443): Max retries exceeded with url: /?page_id=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002398DE25D10>: Failed to resolve 'blogs.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://blogs.dsci.in/?m=FUZZ,ERROR,Error,"Failed to connect: HTTPSConnectionPool(host='blogs.dsci.in', port=443): Max retries exceeded with url: /?m=FUZZ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002398DE260D0>: Failed to resolve 'blogs.dsci.in' ([Errno 11001] getaddrinfo failed)""))"
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Vinayak-Godse.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/image_captcha?sid=FUZZ,SAFE,Low,No obvious SQLi behavior detected
https://www.dsci.in/sites/default/files/styles/thumbnail/public/dummy_3.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/anirban-sengupta.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/vinayak-pai.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/CLA_Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Webp.net-resizeimage.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://ccoe.dsci.in/wp-content/themes/ryse/assets/css/radiantthemes-custom.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/130_140/public/Logo-261x132_0.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/finsec-conclave-2023/css/style.css?v=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/130_140/public/revised iib logo_0.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/event_small_160x108/public/CDSUAE780x535.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/documents/resource_centre/National Cyber Security Strategy 2020 DSCI submission.pdf?msclkid=FUZZ,SAFE,Low,Static file extension detected (pdf)
https://www.dsci.in/cbt/IT_Amendment_Act2008?token=FUZZ,SAFE,Low,No obvious SQLi behavior detected
https://ccoe.dsci.in/core/assets/c74922f03e/assets/fonts/fontawesome-webfont.woff2?v=FUZZ,SAFE,Low,Static file extension detected (woff2)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/3rd-Cyber-Crime-Awareness-Workshop-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Hero_MotoCorp.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/Certbar-Blue-Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/czar-securities-logo_0.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
